company,ticker,year,revenue_MEUR,csrd_2025,csrd_2027,segment,industry,hq_country,years_esg_data,base_year,external_audit_of_ESG_report,ceo_sust_statem,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,disclosure_of_water_discharges,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool
Danske Bank A/S,DANSKE,2021,7757.69,1,0,Large,Finance,Denmark,4,2019,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
Danske Bank A/S,DANSKE,2022,10655.7,1,0,Large,Finance,Denmark,4,2019,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1
Solar A/S,SOLAR,2019,1563.453815,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Solar A/S,SOLAR,2020,1540.89,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0
Solar A/S,SOLAR,2021,1653.815261,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0
Solar A/S,SOLAR,2022,1863.415602,1,0,Mid,Industrial Goods and Services,Denmark,4,2019,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0
H. Lundbeck A/S,LUN,2019,2280.589023,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
H. Lundbeck A/S,LUN,2020,2365.729585,1,0,Large,Health Care,Denmark,4,2019,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0
H. Lundbeck A/S,LUN,2022,2452.563014,1,0,Large,Health Care,Denmark,4,2019,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
NKT Holding A/S,NKT,2019,1342.4,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0
NKT Holding A/S,NKT,2020,1503.3,1,0,Large,Industrial Goods and Services,Denmark,4,2019,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
NKT Holding A/S,NKT,2021,1906.7,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
NKT Holding A/S,NKT,2022,2079.0,1,0,Large,Industrial Goods and Services,Denmark,4,2019,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Vestjysk Bank A/S,VJBA,2019,141.26,0,1,Mid,Finance,Denmark,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vestjysk Bank A/S,VJBA,2020,118.7416332,0,1,Mid,Finance,Denmark,4,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vestjysk Bank A/S,VJBA,2021,106.2247657,0,1,Mid,Finance,Denmark,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vestjysk Bank A/S,VJBA,2022,113.044256,0,1,Mid,Finance,Denmark,4,2019,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1
Jyske Bank A/S,JYSK,2019,1135.742972,1,0,Large,Finance,Denmark,4,2019,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
Jyske Bank A/S,JYSK,2020,1633.333333,1,0,Large,Finance,Denmark,4,2019,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1
Jyske Bank A/S,JYSK,2021,1231.593039,1,0,Large,Finance,Denmark,4,2019,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
Jyske Bank A/S,JYSK,2022,860.8031099,1,0,Large,Finance,Denmark,4,2019,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
Sydbank A/S,SYDB,2019,482.1954485,1,0,Mid,Finance,Denmark,4,2019,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0
Sydbank A/S,SYDB,2021,569.210174,1,0,Mid,Finance,Denmark,4,2019,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1
Sydbank A/S,SYDB,2022,698.1558148,1,0,Mid,Finance,Denmark,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
Sydbank A/S,SYDB,2020,491.2985274,1,0,Mid,Finance,Denmark,4,2019,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0
H+H International A/S,HH,2019,380.1874163,1,0,Mid,Basic Materials,Denmark,4,2019,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
H+H International A/S,HH,2020,355.2878179,1,0,Mid,Basic Materials,Denmark,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0
H+H International A/S,HH,2021,404.2838019,1,0,Mid,Basic Materials,Denmark,4,2019,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
H+H International A/S,HH,2022,484.434647,1,0,Mid,Basic Materials,Denmark,4,2019,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1
Alm. Brand A/S,ALMB,2019,1152.63,1,0,Large,Finance,Denmark,3,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Alm. Brand A/S,ALMB,2020,1152.342704,1,0,Large,Finance,Denmark,3,2019,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Alm. Brand A/S,ALMB,2022,1126.410066,1,0,Large,Finance,Denmark,3,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0
Bavarian Nordic A/S,BAVA,2019,88.68647925,0,1,Large,Health Care,Denmark,4,2019,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
Bavarian Nordic A/S,BAVA,2021,259.4862115,0,1,Large,Health Care,Denmark,4,2019,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
Bavarian Nordic A/S,BAVA,2022,423.5184905,0,1,Large,Health Care,Denmark,4,2019,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0
Bavarian Nordic A/S,BAVA,2020,247.9763052,0,1,Large,Health Care,Denmark,4,2019,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
ALK Abelló A/S,ALK,2019,434.6720214,1,0,Large,Health Care,Denmark,4,2019,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
