comp_name,ticker,year,segment,industry,hq_country,ceo_sust_statem,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share
Stolt-Nielsen,SNI,2018.0,Large,Industrial Goods and Services,Bermuda,1,425.7669643,1,1,1,,0,0,1,,0,,,8,0,1,0,0,1,0.794642857
Stolt-Nielsen,SNI,2019.0,Large,Industrial Goods and Services,Bermuda,0,1818.75,1,0,1,,0,0,0,,0,,,9,0,1,,0,0,0.3125
Stolt-Nielsen,SNI,2020.0,Large,Industrial Goods and Services,Bermuda,0,1745.657143,1,1,1,,0,0,1,,0,,,10,0,0,0,0,0,0.580357143
Team Tankers International Ltd.,TEAM,2014.0,Mid,Industrial Goods and Services,Bermuda,0,0,1,0,0,,0,0,0,,,,,3,0,0,0,0,0,
Team Tankers International Ltd.,TEAM,2015.0,Mid,Industrial Goods and Services,Bermuda,0,293,1,0,0,,0,0,0,,0,,,4,0,0,0,0,0,2.39
Team Tankers International Ltd.,TEAM,2016.0,Mid,Industrial Goods and Services,Bermuda,0,253.8,1,0,0,,0,0,0,,0,,,5,0,0,0,0,0,-0.1
Team Tankers International Ltd.,TEAM,2017.0,Mid,Industrial Goods and Services,Bermuda,0,204.4,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-0.3
UIE plc (formerly United International E,UIE,2022.0,Large,Consumer Goods and Services,Denmark,,544.4169041,1,1,1,26305.2,1,0,0,,0,,,2,0,0,0,0,0,
UIE plc (formerly United International E,UIE,2014.0,Large,Consumer Goods and Services,Denmark,0,285.6,0,0,0,,0,,0,,0,,,0,0,1,0,0,0,7.98
UIE plc (formerly United International E,UIE,2015.0,Large,Consumer Goods and Services,Denmark,1,237.7,1,1,1,5,1,1,1,,0,,,6,1,1,1,1,1,
UIE plc (formerly United International E,UIE,2016.0,Large,Consumer Goods and Services,Denmark,1,282.3,1,1,1,,1,0,1,,0,,,7,0,0,0,0,0,10.5
UIE plc (formerly United International E,UIE,2017.0,Large,Consumer Goods and Services,Denmark,0,286.3,1,1,1,,0,0,0,,0,,,8,1,0,1,1,1,16.3
UIE plc (formerly United International E,UIE,2018.0,Large,Consumer Goods and Services,Denmark,0,281.3269565,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,7.791304348
UIE plc (formerly United International E,UIE,2019.0,Large,Consumer Goods and Services,Denmark,0,253.2357143,1,1,1,,0,0,0,,0,,,1,0,0,0,0,0,17.86607143
Africa Oil Corp.,AOI,2014.0,Mid,Energy,Canada,1,0,0,0,0,,0,0,0,,0,,,0,0,1,0,0,1,-0.25
Africa Oil Corp.,AOI,2016.0,Mid,Energy,Canada,0,0,1,0,0,,0,0,0,,0,,,,0,0,0,0,0,0
Africa Oil Corp.,AOI,2017.0,Mid,Energy,Canada,0,3.8,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0
Africa Oil Corp.,AOI,2018.0,Mid,Energy,Canada,0,0,1,0,0,,0,0,0,,0,,,,0,0,0,0,0,-0.12173913
Africa Oil Corp.,AOI,2019.0,Mid,Energy,Canada,0,0,1,0,0,,0,0,0,,0,,,,0,0,0,0,0,-0.294642857
Africa Oil Corp.,AOI,2020.0,Mid,Energy,Canada,0,1826.785714,1,1,1,,0,0,0,,0,,,6,0,0,0,0,1,
Africa Oil Corp.,AOI,2021.0,Mid,Energy,Canada,1,202.5705357,1,1,0,,0,0,0,63372912,1,127.0706,4973.2445,,0,0,0,1,0,0.357142857
International Petroleum Corp.,IPCO,2017.0,Mid,Energy,Canada,0,169.2,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0.2
International Petroleum Corp.,IPCO,2018.0,Mid,Energy,Canada,0,395.1678261,0,0,0,,0,0,0,,0,,,,0,1,0,0,0,0.973913043
International Petroleum Corp.,IPCO,2019.0,Mid,Energy,Canada,0,494.41875,1,1,1,,1,0,0,,0,,,1,0,0,0,0,0,0.553571429
International Petroleum Corp.,IPCO,2020.0,Mid,Energy,Canada,1,284.32,1,1,1,792796.7772,0,0,1,3690822,1,835.103,33.171,0,0,0,0,0,0,-0.4375
International Petroleum Corp.,IPCO,2021.0,Mid,Energy,Canada,,595.0080357,,,,,,,,,,,,,,,,,,0.821428571
International Petroleum Corp.,IPCO,2022.0,Mid,Energy,Canada,,320.7116936,0,0,0,,0,0,0,,0,,,4,0,0,0,1,1,2.136653522
Josemaria Resources Inc.,JOSE,2019.0,Mid,Basic Materials,Canada,0,0,1,0,0,,0,0,1,,0,,,,0,0,0,0,0,-0.027387881
