,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
31,FLEX LNG Ltd,FLNG,2021.0,288586.0,,BMG359472021,63070,Mid,Industrials,Industrial Goods & Services,5020,Virgin Islands. British,Y,USD,306.65,Y,Y,Y,12333021,N,N,Y,ND,N,728.0084,2.68,3,N,Y,N,N,N,2.714285714,FLEX LNG Ltd (FLNG)
32,FLEX LNG Ltd,FLNG,2022.0,288586.0,,BMG359472021,63070,Large,Oil & Gas,Energy *,5020,"Virgin Islands, British",,USD,301.92,Y,N,N,ND,ND,N,N,ND,N,ND,ND,0,N,N,N,N,N,3.333179494,FLEX LNG Ltd (FLNG)
33,FLEX LNG Ltd,FLNG,2017.0,288586.0,21380084THHU3MP,BMG359472021,6307,Mid,Oil & Gas,Oil & Gas,500,Norway,N,USD,22.8,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,0,FLEX LNG Ltd (FLNG)
34,FLEX LNG Ltd,FLNG,2019.0,288586.0,21380084THHU3MP,BMG359472021,6307,Mid,Oil & Gas Midstream,Energy,6010,Bermuda,Y,USD,107.1133929,Y,Y,Y,3895030,N,N,Y,ND,N,ND,ND,2,N,N,N,N,Y,0.276785714,FLEX LNG Ltd (FLNG)
35,FLEX LNG Ltd,FLNG,2020.0,288586.0,NO920626289,BMG359472021),63070,Large,Oil & Gas,Energy,6010,Bermuda,Y,USD,133.72,Y,Y,Y,8533076,N,N,Y,ND,N,485.793,ND,0,N,N,N,N,N,0.133928571,FLEX LNG Ltd (FLNG)
36,Frontline Ltd,FRO,2015.0,312009.0,ND,BMG3682E1921,14200,Large,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,421,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,1.95,Frontline Ltd (FRO)
37,Frontline Ltd,FRO,2016.0,312009.0,ND,BMG3682E1921,14200,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,718.1,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,N,N,N,N,0.7,Frontline Ltd (FRO)
38,Frontline Ltd,FRO,2017.0,312009.0,ND,BMG3682E1921,14200,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,559.2,Y,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-1.3,Frontline Ltd (FRO)
39,Frontline Ltd,FRO,2018.0,312009.0,,BMG3682E1921,14200,Large,Oil & Gas,Energy,500,Bermuda,N,USD,662.7375,N,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,-0.044642857,Frontline Ltd (FRO)
40,Frontline Ltd,FRO,2019.0,312009.0,ND,BMG3682E1921,14200,Large,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,854.7517857,Y,Y,Y,20387685,N,N,Y,ND,N,ND,ND,2,N,N,N,N,N,0.696428571,Frontline Ltd (FRO)
41,Frontline Ltd,FRO,2020.0,312009.0,,BMG3682E1921,14200,Large,Oil & Gas,Industrial Goods and Services,5020,Bermuda,Y,USD,1090.345536,Y,Y,Y,24200992,N,N,Y,ND,N,1849.8271,ND,3,N,Y,N,N,N,1.866071429,Frontline Ltd (FRO)
